Center frequency;5;
Sampling freq.;160;
Samples;512;
Reference amplitude;100;

Time(µs);Amplitude(dB);Amplitude(val);
1.8688;-1.6872E1;-1.4334E1;
1.875;-1.5448E1;-1.689E1;
1.8812;-1.4742E1;-1.8318E1;
1.8875;-1.4564E1;-1.8699E1;
1.8938;-1.4819E1;-1.8157E1;
1.9;-1.5466E1;-1.6854E1;
1.9062;-1.6495E1;-1.4971E1;
1.9125;-1.7925E1;-1.2698E1;
1.9188;-1.9808E1;-1.0224E1;
1.925;-2.2246E1;-7.7214E0;
1.9313;-2.5445E1;-5.3424E0;
1.9375;-2.9873E1;-3.2089E0;
1.9438;-3.7016E1;-1.41E0;
1.95;NaN;0E0;
1.9562;-3.9997E1;1.0004E0;
1.9625;-3.5909E1;1.6015E0;
1.9688;-3.4703E1;1.8402E0;
1.975;-3.5023E1;1.7736E0;
1.9813;-3.6636E1;1.473E0;
1.9875;-3.9856E1;1.0167E0;
1.9938;-4.6306E1;4.8381E-1;
2;-6.566E1;-5.2119E-2;
2.0062;-4.5555E1;-5.2752E-1;
2.0125;-4.0986E1;-8.9264E-1;
2.0188;-3.9064E1;-1.1138E0;
2.025;-3.8606E1;-1.174E0;
2.0312;-3.9388E1;-1.073E0;
2.0375;-4.1674E1;-8.2467E-1;
2.0438;-4.6833E1;-4.5537E-1;
2.05;NaN;0E0;
2.0562;-4.5996E1;5.014E-1;
2.0625;-3.9936E1;1.0074E0;
2.0688;-3.6603E1;1.4787E0;
2.075;-3.4512E1;1.8809E0;
2.0813;-3.3201E1;2.1875E0;
2.0875;-3.2466E1;2.3806E0;
2.0938;-3.2209E1;2.4522E0;
2.1;-3.2381E1;2.4042E0;
2.1062;-3.2968E1;2.247E0;
2.1125;-3.3986E1;1.9985E0;
2.1188;-3.5482E1;1.6822E0;
2.125;-3.7558E1;1.3246E0;
2.1312;-4.0417E1;9.5314E-1;
2.1375;-4.4524E1;5.9404E-1;
2.1438;-5.1364E1;2.7026E-1;
2.15;NaN;0E0;
2.1562;-5.3792E1;-2.0437E-1;
2.1625;-4.9452E1;-3.3681E-1;
2.1688;-4.8012E1;-3.9757E-1;
2.175;-4.8119E1;-3.927E-1;
2.1812;-4.9549E1;-3.3308E-1;
2.1875;-5.2647E1;-2.3316E-1;
2.1938;-5.9214E1;-1.0947E-1;
2.2;-7.3619E1;2.0847E-2;
2.2063;-5.6981E1;1.4156E-1;
2.2125;-5.2445E1;2.3864E-1;
2.2188;-5.0422E1;3.0123E-1;
2.225;-4.9832E1;3.2242E-1;
2.2312;-5.0471E1;2.9953E-1;
2.2375;-5.2613E1;2.3408E-1;
2.2438;-5.7627E1;1.3141E-1;
2.25;NaN;0E0;
2.2562;-5.6511E1;-1.4943E-1;
2.2625;-5.0316E1;-3.0491E-1;
2.2688;-4.6852E1;-4.5435E-1;
2.275;-4.4635E1;-5.865E-1;
2.2812;-4.32E1;-6.9186E-1;
2.2875;-4.2345E1;-7.6339E-1;
2.2938;-4.1971E1;-7.9696E-1;
2.3;-4.2031E1;-7.9154E-1;
2.3062;-4.2509E1;-7.4913E-1;
2.3125;-4.3421E1;-6.7444E-1;
2.3188;-4.4816E1;-5.744E-1;
2.325;-4.6793E1;-4.5743E-1;
2.3313;-4.9557E1;-3.3276E-1;
2.3375;-5.3573E1;-2.0957E-1;
2.3438;-6.0327E1;-9.6303E-2;
2.35;NaN;0E0;
2.3562;-6.2596E1;7.4167E-2;
2.3625;-5.8187E1;1.2321E-1;
2.3688;-5.6686E1;1.4645E-1;
2.375;-5.6748E1;1.4541E-1;
2.3812;-5.8163E1;1.2355E-1;
2.3875;-6.132E1;8.5897E-2;
2.3938;-6.8293E1;3.8489E-2;
2.4;-7.8284E1;-1.2185E-2;
2.4062;-6.4472E1;-5.9761E-2;
2.4125;-6.0127E1;-9.8546E-2;
2.4188;-5.8134E1;-1.2397E-1;
