#Center frequency;2;
#Sampling freq.;60;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
7.9;-2.2667E1;7.3565E0;
7.9167;-1.742E1;-1.3458E1;
7.9333;-9.4502E0;-3.3689E1;
7.95;-5.6036E0;-5.2459E1;
7.9667;-3.2288E0;-6.8954E1;
7.9833;-1.6752E0;-8.2459E1;
8;-6.8769E-1;-9.2388E1;
8.0167;-1.48E-1;-9.8311E1;
8.0333;-2.6167E-3;-9.997E1;
8.05;-2.3828E-1;-9.7294E1;
8.0667;-8.7673E-1;-9.0399E1;
8.0833;-1.9835E0;-7.9584E1;
8.1;-3.6994E0;-6.5317E1;
8.1167;-6.3357E0;-4.8218E1;
8.1333;-1.0744E1;-2.9028E1;
8.15;-2.1331E1;-8.5797E0;
8.1667;-1.8244E1;1.2241E1;
8.1833;-9.754E0;3.2531E1;
8.2;-5.779E0;5.141E1;
8.2167;-3.3421E0;6.806E1;
8.2333;-1.7493E0;8.1758E1;
8.25;-7.3261E-1;9.1911E1;
8.2667;-1.6852E-1;9.8079E1;
8.2833;-6.5409E-4;9.9992E1;
8.3;-2.1365E-1;9.757E1;
8.3167;-8.2712E-1;9.0917E1;
8.3333;-1.9034E0;8.0321E1;
8.35;-3.5774E0;6.6242E1;
8.3667;-6.1449E0;4.929E1;
8.3833;-1.04E1;3.0201E1;
8.4;-2.0174E1;9.8017E0;
8.4167;-1.9155E1;-1.1022E1;
8.4333;-1.007E1;-3.1368E1;
8.45;-5.9593E0;-5.0354E1;
8.4667;-3.4583E0;-6.7156E1;
8.4833;-1.8254E0;-8.1046E1;
8.5;-7.7908E-1;-9.1421E1;
8.5167;-1.9041E-1;-9.7832E1;
